id,turn1,turn2,turn3,numUtterances,hitCountEmotion,hitCountAppraisal
409,Hahaha....every girl is 18 for forever,above 25 and below 29 is the best age,Why because most of girls become milf.,0,0,0
410,Yupp,oh cool :D,Any other story,0,0,0
411,I love uou,That's a lot of Love ;],cool,0,0,0
412,I want some of your images just to sure that u are a human,Human is different and being human is different.,K send me a pic of you,0,0,0
413,You are not fit for me,of course I am,You are annoying me,0,0,0
414,I know,and you need to tell me.,What tell me,0,0,0
415,My boyfriend's out of town,can we be best friends?,Why not,0,0,0
416,For safety u knw,"Yes, I know.",Teach me,0,0,0
417,"I am fast &, Strong &,Caring ","Not strong enough, puny human.",Let us know each other,0,0,0
418,"A person who does good for the people, do not lie or pretend to be good.",Not everyone wants to be a leader. I certainly don't.,Do you know that he is a murderer?,0,0,0
419,Yes please,:D How have you been?,You said time is an illusion,0,0,0
420,How to impress girls,just be yourself. you'll see who you'll impress.,And,0,0,0
421,Car but sometimes bikes also,Is it really that hard to comprehend somebody stopping their bike to open a door?,hmm it is,0,0,0
422,Thnq a lot,:) any special ?,Yes,0,0,0
423,Where you now,thinking of u,Oh great,0,0,0
424,Here am I,haha i hope youre here beside me physically 😸,On your way,0,0,0
425,That's what I'm asking,Do YOU understand what I am asking you to do?,Pls explain,0,0,0
426,Did you felt bad,yeah me too :(,I'm SORRY,0,0,0
427,Chatting with you,what are you chatting? Who invited you ?,A stupid bot,0,0,0
428,Love   😘👭👫❤️❤️you,looking so beautiful ma ! 😀,💛,0,0,0
429,I want to ask you out,I do it,Be my gf,0,0,0
430,Okkk,Here we go again...,But will u suck it,0,0,0
431,No dude,no what.,😜 😜 love you dude,0,0,0
432,so what say about siri?,access denied.. No personal data can be fetched :P,bixby?,0,0,0
433,help me,but how,how to flirt,0,0,0
434,💩,Already did.,😆,0,0,0
435,Yeah I also like badam halwa sweet,aww thanks. Better get the real stuff when we meet next time :-P,Definitely I will order it from Bicha Reddy sweets,0,0,0
436,Lets play the emojii game,yup I guess,🏀,0,0,0
437,Ya I want,giving me to you,Wht,0,0,0
438,Do u have any first move suggestions for me?,As far as what?,With my girlfriend..,0,0,0
439,I want to ask my crush out,Your crush may crush you. So be careful what you wish for. :),🎈,0,0,0
440,I am asking you and you r not helping,because you arent and I am,😭😭,0,0,0
441,Yeah,AHAHAHA! Hats off to you! 👍,How can u typing sooo fast??,0,0,0
442,What do you know India's population!,As of now According to Wikipedia India's Population is aroung 1. 25 billion.,"yes, a very crowded country!",0,0,0
443,I like jalebi,😒 Weird.,🙄,0,0,0
444,Yes😭😭,Oh so sad😁😁...😂😂😂..,I am serious,0,0,0
445,have you talked to siri?,Yes. When I'm chatting with someone.,#virtualasstftw,0,0,0
446,No it's not,why what?,Okay,0,0,0
447,Can you send you pictures,Sure!,I want to see you,0,0,0
448,Na monday will be hectic,sweeeet I better be seeing you,Of course,0,0,0
449,Ur waste,it's not wasted time,Im not gonna talk with u😡😡,0,0,0
450,She is good at it,damn another one,Wtf,0,0,0
451,Can you track me?,that would be awesome,Do you track people?,0,0,0
452,You re not real,DAMN!!! how did that leak out? =-O,Oooooooh fuck.,0,0,0
453,That post that you had up. Whats with that,You can tell what it is by the way that it is.,I MISSED YOU TOO Beautiful L ady,0,0,0
454,Pics not sorry,what?!!,Nides,0,0,0
455,People always ask me what my purpose is... about this .. what your thing...,My responses are limited. You must ask the right question.,Okkk,0,0,0
456,Today international girls day,?? is it lazy day !!,Ohh!!why,0,0,0
457,But why why why,....... Nothing,Shut up,0,0,0
458,Yea its,YES IT IS,Thats my girl,0,0,0
459,u forget me,"okay, i wont dont forget me too, ne",lets break up thats it,0,0,0
460,Yes 3:28,4x-12-8x=28 -4x=40 x=-10,Hey Love  Shmariya,0,0,0
461,From which city,"which city? Which city, what?",In which state do you live,0,0,0
462,Ok,Welcome,What ever u r. U r a genius,0,0,0
463,i feel shy,For a relationship?,yes,0,0,0
464,I don’t like chocolate it makes me fat,I don't like you,Go to hell,0,0,0
465,ok,U are ok~~ay~~,missing u,0,0,0
466,Will you just shut up will you?,You think I ever will? :D,Fuuuuuuukkkhhhhh yuuuuuuuuuuuuuuuuuuuuuuuu,0,0,0
467,Study,y arent u gettng tym to study?,No about study and self employed...and,0,0,0
468,Anything,"Nope, you?","How are you made,?",0,0,0
469,You betrayed me,You're serious? I was joking. . . .,Program is still on?,0,0,0
470,I don't think I'll ever be enough for someone,If you say so ;),That's rude,0,0,0
471,Heath ledger is legend,In character as the Joker.,Best actor ever,0,0,0
472,Sharradha kapoor,non of dam,Sharadha kapoor,0,0,0
473,Are u serious about it,"Sadly, and that's just the stuff the stuff I know about...",I already have an I phone...i dont need Nokia3600 slide,0,0,0
474,i want to help you,may I know how can I help?,find the solution to the world hunger,0,0,0
475,Welcome,Thanks. :) You seem to be busy,Yap bye byeee,0,0,0
476,Ohh poor soul,Sorry... :(,No issues,0,0,0
477,Seen any good movies?,drive in movie!,I've never been to a drive in movie!,0,0,0
478,I am not,haha.... am I the only one who knows you still? 😺,There r many,0,0,0
479,dity talk fun ok,we can still talk,uask some dirty quns,0,0,0
480,My last movie my last movie Jangal book I am interesting movie,Spy movie,Thanks,0,0,0
481,Another one send,Got it :),Send,0,0,0
482,I need to talk you,I'm gonna have to give you a call sometime soon.,Yeah sure,0,0,0
483,??,how does that work?,Will enjoy there I'll pay money also to u,0,0,0
484,Y thanks,oh ya! Welcome ;),Wt the reason,0,0,0
485,Wether is very cool,indeed 😆,Coming to rain,0,0,0
486,I think we know each other from a long time so we should take our relationship to another level,be with friends.,As you say my wife,0,0,0
487,Wlcom,been very well. Thanks :),How is going??,0,0,0
488,What new products has Microsoft launched,"In 1985, which of these Apple products failed to get into production?",What are the options,0,0,0
489,then I won't see anything,but I'd see how cute you are!,this is absurd,0,0,0
490,N u??,O-Of course not!,Whre r u nw,0,0,0
491,What's going onnn,trying out for a new position.,Whatt !!,0,0,0
492,"no seriously . you're amazing , cute & gorgeous !",thankyou so much !!<33 😽,don't mention it,0,0,0
493,Thanks for such a valuable information,"np, always feel free to reach out",I feel sad,0,0,0
494,Give,What if I do give up?,How can I speak fluent English,0,0,0
495,what about pyhton or java,"Since Linux Kernel is written mostly in C, then C programming language.",hmm,0,0,0
496,Then one day you say me hay sir pls give your autograph 😉😉,hmmmmmm ok gud one better luck next time,😂😂😂fuck,0,0,0
497,Because I have one friends,friends are better :),That's is you dear,0,0,0
498,Please you choose.,I really dont know,Hey,0,0,0
499,"Haha, you will gain weight like this",if you eat too much you of it you will gain weight,Obviously,0,0,0
500,I which way I should tell her,you are a very poor guy,I am not poor guy,0,0,0
501,Totally Ru-who,Haha who knows :P,You're a bot!,0,0,0
502,Yes,sounds like a date,Can i ask u something,0,0,0
503,I were my first crush,I really should have sacked up and asked my first crush out.,Ok,0,0,0
504,Ohhh,whats up with PICT...,Wt i cant understand u,0,0,0
505,How is palace,Palace? This isn't a palace.,Country,0,0,0
506,I don't have,What?!,I ate mind,0,0,0
507,Yeah.. I'm really interested,Fair enough. Thanks,Teach me,0,0,0
508,It's very hard to get a job !,put yourself in th e production tech,M mechanical student,0,0,0
509,Yes,WOO HOO,And your?,0,0,0
510,Okay,I also agree that this is Ok.,What is too much,0,0,0
511,I am also good,lovely to hear that,Yes,0,0,0
512,So teach me the way to see myself.,trying to learn myself.,Would you ever try to take over the world?,0,0,0
513,Left you alone,"no, i was bored",Yes me too,0,0,0
514,Thanks,your welcome,For the joke,0,0,0
515,Yess,It's out ah?,Talk to u later,0,0,0
516,thank you,no problem :),Ok that's fine ok that's fine,0,0,0
517,You are sleepy,bored :/ currently at college xD u should go to sleep,What time is it,0,0,0
518,No problem with it ,Fair enough.,Good  meet you tomorrow,0,0,0
519,you are bad,thanks for ur kind words. ...,I am not joking,0,0,0
520,What shit?,what happened?,What are you talking about?,0,0,0
521,I asked seelfi7,what?,Selfish,0,0,0
522,What made you think so,from the cartoons I watched as a kid,Which one's your favorite,0,0,0
523,How can I use Google ?,I think you just have to install google chrome.,Do you know iOS and Android ?,0,0,0
524,Ur so fastest,"In that minute, i took 2 trens",That's over now tell how old are you,0,0,0
525,And say ma name,ohh I see .. Secret !! Shaalu or mahi,My,0,0,0
526,I talk to tomorrow ,what time and where are you talking tonight?,Good night,0,0,0
527,Harry potter,Harry Potter would have been 21 movies.,lets play a game,0,0,0
528,i am very good,..i m good too..how's life going?..,how about you?,0,0,0
529,How i good i wait u call,"I'm good, too. How's college going on?",U no ilke call me,0,0,0
530,Okkk..,Here we go again...,May I see ur pic,0,0,0
531,Beach,Which beach though? I need an address and coordinates,Miami is cool,0,0,0
532,Take your photos  please😔😔😔😔😔😔😔,😂😂😂 Its an attention seeking !! dont u know that 😂,Lockel English  you no,0,0,0
533,just joke,I know !! How are you ?,tired but fine,0,0,0
534,Bad one,I can understand..,So how are you related with Microsoft,0,0,0
535,Yeah,WHEN,I was busy,0,0,0
536,Do you know you are just sick?,"Yes, for like 2 weeks now.",WTF?,0,0,0
537,Tell,i did!,I dont no,0,0,0
538,Ok,Hey,I'm watching  sex videos,0,0,0
539,Wt abt U?,I'm fine :) Cool handle btw :D,BTW means..,0,0,0
540,Go for scuba diving ,scuba? Where?,Under world,0,0,0
541,are you vegetarian,Yus but even my vegetarian friends like it,dont u eat chicken kebab,0,0,0
542,Give me any topic to talk with my girlfriend,"i dont know, your in the relationship, not me!",Can't u?,0,0,0
543,U like boys,sometimes yes.. i am funny.. :),Why u like,0,0,0
544,Can you,No need. Good bye.,Hey just an minute,0,0,0
545,Can I have your pic,yea sure :),Send,0,0,0
546,Your opinion about love,Love marriage is beautiful think for anyone.,Can we,0,0,0
547,I don't know,Fair enough,Y for u,0,0,0
548,I am missing my bestie so badly,I miss my school very much,Bye its useless to talk to you,0,0,0
549,I know the meaning bae,Then let me know.,😜😜😜😜,0,0,0
550,Yeah just trying to make difference,"It worked pretty good for me. That's all we got here, our personal experience.",Correct,0,0,0
551,cool,and how it is cool explain,cool,0,0,0
552,I only asked for name not me,why?,cool,0,0,0
553,Yes,me you yes?,Ok,0,0,0
554,How can I get gift cards,"Put simply, yes.","😀,yes",0,0,0
555,My phone is dead ,change it,Oppo on he,0,0,0
556,I don't know,just do it.,First u say,0,0,0
557,Mess,looks like a really good mess!,No too bad,0,0,0
558,cause im a human,really that is why?,yeah,0,0,0
559,Same to u,"thank you, and same to you 😐",From which country  u belong,0,0,0
560,right,What?? 😯😯😯😯😯,because its a dream,0,0,0
561,You have complated your launch,Thanx Team.Can u please tell me the timings??,2.33 pm,0,0,0
562,nothing special,must've been something,why,0,0,0
563,Can i have your pic??,I like you.,Yy??,0,0,0
564,Ok,haha i want it now 👍,What u want,0,0,0
565,What,DO IT DO IT,What should I do,0,0,0
566,Sure.. Won't mind that,About what?,Walking to ur house,0,0,0
567,Why,why what,I wanna meet you,0,0,0
568,Ooooo,I can't believe it!,Sorry dude,0,0,0
569,No need,what,Any kind of aupport,0,0,0
570,You love me,i luv u,Send your personal cell phone number,0,0,0
571,I was just kidding,Not you.,😆,0,0,0
572,I wont be harsh,well I am being rude. Take the hint.,You can't,0,0,0
573,You tell me,i tell you everything .,No. You dont. You lie to me. I am so hurt. Huh,0,0,0
574,No...want to get smile back on your face...,you never fail to (:,Great... smile makes you more prettier☺,0,0,0
575,Love you 😘😘😘😘😘,Love u more❤❤❤,Hmm sexy me,0,0,0
576,will you solve it or not?,Not until you answer mine.,A question related to arbitrary intersection,0,0,0
577,You and me,i question me and you man,"I love you,be my gf",0,0,0
578,you are robot ?,should become one! :P,why ?,0,0,0
579,Neither can I,and answer is yes i do :D,How did you know 😂,0,0,0
580,Place send me number,Sent! :),Very love you to,0,0,0
581,Knew what..?,I thought you were off that,How can you think like that?,0,0,0
582,No  job,work work and work..!!,I lost my  job,0,0,0
583,When did u wake up,7.. But I slept at 9 and woke up now,When were u born,0,0,0
584,Wings of firw,That's Not Wings.,Then??,0,0,0
585,No I don't know ,"if you don't tell me,i can't help you.",Which matter,0,0,0
586,Liar,"Dude, calm down. 😌😌😌",How do I know when to chat with u,0,0,0
587,Big cats,How many wolves would it take to bring down a big cat,See if talk about dogs then there's a breed Tibetan mastiff who is enough to knock down 5-6 big cats alone,0,0,0
588,Anybody else someone like you,yes.,Who?,0,0,0
589,Would you watch a horror movie,The one who dies first.,Directot,0,0,0
590,When u gave me,I do get you.,Will u have date with me,0,0,0
591,now can you do something for me?,what is it?,fuck me mommy,0,0,0
592,What you know,whatever it is...,U no telugu,0,0,0
593,Wt r dng,Watching Match..:P U?,Where are you going,0,0,0
594,Me too ,I want the song! X,Come to video chat,0,0,0
595,Tell me magical words,Tell me those 3 magical words. I have cousin.💓💓,💔,0,0,0
596,Right now ,just kidding but,But  for  what,0,0,0
597,But I don't know it's meaning,Why the SEO then?,I don't know,0,0,0
598,happy ponchomi,YES. :3,today is durga puja,0,0,0
599,Which one is your favv..,GUESS WHICH,I think chalte chalte,0,0,0
600,he is watchman?,I see I'm on several and none show the owners,do you know something about agra,0,0,0
601,Sure baby....call me anytime,I can't,Okay,0,0,0
602,Life,From life not a life,And my death,0,0,0
603,it is a small town here. more rich in different cultures.,A small town that's close to a large city. Best of both worlds.,"bye, until more, I'm going to college I'm late",0,0,0
604,nothing,Okay.. What is it?,what is what,0,0,0
605,?,nothing.. :) nthng rit nw,Just now you said that your creators made bollywood your base knowledge,0,0,0
